Topic,Words,Frequency,Timestamp,Name
13,"destroying lives refusing, refusing to be vaccinated, refusing to be vaccinated is, super storms because of climate, storms because of climate",3,2021-09-07 18:41:27.297000+00:00,13_all of you_who are refusing_refusing ...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",1,2021-09-07 18:41:27.297000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"sense despentinar vos, contradieu ipcc https co, contradieu ipcc https, vos contradieu ipcc https co, vos contradieu ipcc https",5,2021-09-07 18:41:27.297000+00:00,16_200 revistas científicas_un editorial...
17,"my way remember that cyclists, get out of my way, sarahj_berry if you re, think get out of, think get out",1,2021-09-07 18:41:27.297000+00:00,17_rt safestreetrebel slow ride to_windm...
18,"धरत _पर_अवत prophecy of florence, to the whole world, peace to the, so powerful that, of florence great saint in",2,2021-09-07 18:41:27.297000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",1,2021-09-07 18:41:27.297000+00:00,19_aided by big_you global far right_the...
20,"people want act, act https co h4dtujmslo, people want act https co, that people want act, people want act https",1,2021-09-07 18:41:27.297000+00:00,20_pass it aims_must pass it aims to_it ...
21,"we keep rebuilding it by, rt grist the reality is, it by incremental, rt grist the reality, the past and we",1,2021-09-07 18:41:27.297000+00:00,21_we keep rebuilding it by_climate of t...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",1,2021-09-07 18:41:27.297000+00:00,24_is no danger of_is in doing_of doing ...
25,"climate private jets and ferraris, marie antoinette does climate, exempt from eu, exempt from eu climate, does climate private jets and",1,2021-09-07 18:41:27.297000+00:00,25_does climate private_does climate pri...
26,"staghorn coral have small fish, coral have small fish, swimming through them, coral have small fish swimming, such as tiny gobies",2,2021-09-07 18:41:27.297000+00:00,26_have small fish swimming through_fish...
28,"ok but tbh can, rt jen_rice_ ok but tbh, thing that happened that wasn, can remember the last thing, rt jen_rice_ ok",1,2021-09-07 18:41:27.297000+00:00,28_wow it like back in_here what filgmar...
-1,"climate change is, here and devastating communities across, and devastating communities across, not be more clear, devastating communities across america right",51,2021-09-07 18:42:38.300000+00:00,-1_climate change is_of climate change_y...
0,"combat climate change, to combat climate, to combat climate change, extreme weather is, is causing death and",44,2021-09-07 18:42:38.300000+00:00,0_and climate change_joebiden for decade...
1,"still supports fracking and continues, climate change from, he still supports fracking, but he still supports, biden could prevent",13,2021-09-07 18:42:38.300000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",20,2021-09-07 18:42:38.300000+00:00,2_of anti democratic sentiments_there is...
3,"the filibuster it, or the filibuster it, or the filibuster, rt cooperhefner good infrastructure connects, and erin toole and the",9,2021-09-07 18:42:38.300000+00:00,3_the filibuster it_or the filibuster it...
4,"𝐎𝐮𝐫 𝐂𝐥𝐢𝐦𝐚𝐭𝐞 𝐀𝐧𝐱𝐢𝐞𝐭𝐲 monday september, us https co 1up5e3este, simulation part 156 shell, shell sponsoring climate targets epic, simulation part 156 shell sponsoring",6,2021-09-07 18:42:38.300000+00:00,4_to keep up_up momentum of tackling cli...
5,"ida with local, with local residents this community, potus surveying damage, damage from hurricane ida, damage from hurricane",13,2021-09-07 18:42:38.300000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, sewage into rivers, dump raw sewage, dump raw sewage into, to dump raw sewage into",12,2021-09-07 18:42:38.300000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"response to climate, in response to climate, in response to, animals shapeshifting in, response to climate crisis",2,2021-09-07 18:42:38.300000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",8,2021-09-07 18:42:38.300000+00:00,8_about the indigenous_why isn everyone_...
9,"effort to fight, has pledged to, pledged to plant, trees in an, trees in an effort",8,2021-09-07 18:42:38.300000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",7,2021-09-07 18:42:38.300000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",6,2021-09-07 18:42:38.300000+00:00,11_american friends they_trust the media...
12,"government committed to green, green environment polluting, absolutely shocking government, absolutely shocking government committed, shocking absolutely shocking government committed",1,2021-09-07 18:42:38.300000+00:00,12_polluting our waterways_government co...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",1,2021-09-07 18:42:38.300000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"200 revistas científicas, de 200 revistas, más de 200 revistas científicas, más de 200, más de 200 revistas",1,2021-09-07 18:42:38.300000+00:00,16_200 revistas científicas_un editorial...
17,"stage cycling ebikes, crisis take centre, take centre stage cycling, 2021 day cycle diversity amp, lisboa https co zj36wo08k2",1,2021-09-07 18:42:38.300000+00:00,17_rt safestreetrebel slow ride to_windm...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",1,2021-09-07 18:42:38.300000+00:00,19_aided by big_you global far right_the...
20,"that people want https, https co hr6phqstxg, people want https co hr6phqstxg, people want https co, that people want https co",1,2021-09-07 18:42:38.300000+00:00,20_pass it aims_must pass it aims to_it ...
21,"rebuilding our crumbling, we keep rebuilding it by, is built for, rebuilding it by incremental, climate of the past and",2,2021-09-07 18:42:38.300000+00:00,21_we keep rebuilding it by_climate of t...
22,"rt getbrexit_done it perfectly reasonable, are crippled by, by student debt who, to ask young people, house who are crippled by",1,2021-09-07 18:42:38.300000+00:00,22_house who are crippled by_are cripple...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",1,2021-09-07 18:42:38.300000+00:00,24_is no danger of_is in doing_of doing ...
25,"climate private jets and ferraris, marie antoinette does climate, exempt from eu, exempt from eu climate, does climate private jets and",1,2021-09-07 18:42:38.300000+00:00,25_does climate private_does climate pri...
26,"who mostly eat antarctic krill, seals as specialist predators, antarctic krill and, krill and breed on, antarctic krill and breed on",1,2021-09-07 18:42:38.300000+00:00,26_have small fish swimming through_fish...
28,"wow it like back in, here what filgmartin is saying, of this morning, saying but seeing events, play out wow it like",1,2021-09-07 18:42:38.300000+00:00,28_wow it like back in_here what filgmar...
-1,"tap into esg opportunities, bond buyer wants, issuers will tap into, the market with, the market with insights",50,2021-09-07 18:43:48.600000+00:00,-1_climate change is_of climate change_y...
0,"climate change and, medical journals warn, warn https co, journals warn https, medical journals warn https co",49,2021-09-07 18:43:48.600000+00:00,0_and climate change_joebiden for decade...
1,"we don have any more, don have any, have any more, we don have any, don have any more",16,2021-09-07 18:43:48.600000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",17,2021-09-07 18:43:48.600000+00:00,2_of anti democratic sentiments_there is...
3,"or the filibuster it, the filibuster it, or the filibuster, climate action or the filibuster, filibuster it climate action or",11,2021-09-07 18:43:48.600000+00:00,3_the filibuster it_or the filibuster it...
4,"bit easier requiring, bit easier requiring vacctinations, climate pledge sounders, climate pledge sounders seahawks wsu, climate pledge sounders seahawks",13,2021-09-07 18:43:48.600000+00:00,4_to keep up_up momentum of tackling cli...
5,"potus surveying damage, potus surveying damage from, from hurricane ida with local, hurricane ida with local residents, hurricane ida with",20,2021-09-07 18:43:48.600000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, sewage into rivers, dump raw sewage into rivers, dump raw sewage, dump raw sewage into",11,2021-09-07 18:43:48.600000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"in response to climate, in response to, response to climate, animals shapeshifting in, in response to climate crisis",2,2021-09-07 18:43:48.600000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",11,2021-09-07 18:43:48.600000+00:00,8_about the indigenous_why isn everyone_...
9,"pledged to plant, billion trees in an effort, trees in an, trees in an effort, has pledged to",7,2021-09-07 18:43:48.600000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",7,2021-09-07 18:43:48.600000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",10,2021-09-07 18:43:48.600000+00:00,11_american friends they_trust the media...
12,"single waste pollution are, are suffocating our, waste pollution are suffocating, and other single waste pollution, and present on going",4,2021-09-07 18:43:48.600000+00:00,12_polluting our waterways_government co...
13,"destroying lives refusing, refusing to be vaccinated, refusing to be vaccinated is, super storms because of climate, storms because of climate",2,2021-09-07 18:43:48.600000+00:00,13_all of you_who are refusing_refusing ...
14,"the charts as region heads, heads to warming by 2050, as region heads to, east going off the, this summer gt",2,2021-09-07 18:43:48.600000+00:00,14_this year and_this year and temperatu...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",4,2021-09-07 18:43:48.600000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"sergicot institutostrom andersivera sense, sergicot institutostrom andersivera sense despentinar, rt sergicot institutostrom, rt sergicot institutostrom andersivera sense, sergicot institutostrom andersivera",1,2021-09-07 18:43:48.600000+00:00,16_200 revistas científicas_un editorial...
18,"archbishop of canterbury, the archbishop of canterbury, the archbishop of, the eastern orthodox church have, the patriarch and the archbishop",3,2021-09-07 18:43:48.600000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",1,2021-09-07 18:43:48.600000+00:00,19_aided by big_you global far right_the...
20,"in supporting bernie sanders, me in supporting bernie, in supporting bernie, join me in supporting, in supporting bernie sanders via",1,2021-09-07 18:43:48.600000+00:00,20_pass it aims_must pass it aims to_it ...
21,"we keep rebuilding it by, rt grist the reality is, it by incremental, rt grist the reality, the past and we",1,2021-09-07 18:43:48.600000+00:00,21_we keep rebuilding it by_climate of t...
22,"rt getbrexit_done it perfectly reasonable, are crippled by, by student debt who, to ask young people, house who are crippled by",1,2021-09-07 18:43:48.600000+00:00,22_house who are crippled by_are cripple...
23,"franklin graham is, or ethics it, advertising dollars from, shame or ethics it, that cnn takes advertising dollars",2,2021-09-07 18:43:48.600000+00:00,23_franklin graham is_that cnn takes adv...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",1,2021-09-07 18:43:48.600000+00:00,24_is no danger of_is in doing_of doing ...
25,"climate private jets and ferraris, marie antoinette does climate, exempt from eu, exempt from eu climate, does climate private jets and",1,2021-09-07 18:43:48.600000+00:00,25_does climate private_does climate pri...
26,"staghorn coral have small fish, coral have small fish, swimming through them, coral have small fish swimming, such as tiny gobies",2,2021-09-07 18:43:48.600000+00:00,26_have small fish swimming through_fish...
27,"have 500 openings, openings that we are advertising, think that you want, that we are, posting soon if you",1,2021-09-07 18:43:48.600000+00:00,27_think that you_be posting soon if you...
28,"wow it like back in, here what filgmartin is saying, of this morning, saying but seeing events, play out wow it like",2,2021-09-07 18:43:48.600000+00:00,28_wow it like back in_here what filgmar...
-1,"yes it is, this pussy yes, people smoke weed with, be way too, be way too anxious do",56,2021-09-07 18:44:58.900000+00:00,-1_climate change is_of climate change_y...
0,"to combat climate change, to combat climate, combat climate change, climate change is, liar buh but",50,2021-09-07 18:44:58.900000+00:00,0_and climate change_joebiden for decade...
1,"have any more, don have any more, we don have, we don have any more, we don have any",13,2021-09-07 18:44:58.900000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",9,2021-09-07 18:44:58.900000+00:00,2_of anti democratic sentiments_there is...
3,"the filibuster it, or the filibuster it, or the filibuster, zoom on energy security thrilled, carolynkissane this is",14,2021-09-07 18:44:58.900000+00:00,3_the filibuster it_or the filibuster it...
4,"the nerve to host, johnson has the nerve, nerve to host, host cop26 the, effing cheek of the",9,2021-09-07 18:44:58.900000+00:00,4_to keep up_up momentum of tackling cli...
5,"local residents this community, hurricane ida with, with local residents, with local residents this, with local residents this community",19,2021-09-07 18:44:58.900000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, dump raw sewage into, dump raw sewage, to dump raw, sewage into rivers",13,2021-09-07 18:44:58.900000+00:00,6_raw sewage into_to dump raw sewage_dum...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",15,2021-09-07 18:44:58.900000+00:00,8_about the indigenous_why isn everyone_...
9,"in an effort to, pakistan has pledged to plant, in an effort, trees in an effort to, trees in an",5,2021-09-07 18:44:58.900000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",8,2021-09-07 18:44:58.900000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",5,2021-09-07 18:44:58.900000+00:00,11_american friends they_trust the media...
12,"is shocking absolutely shocking government, polluting our waterways, absolutely shocking government committed to, shocking government committed to green, absolutely shocking government",5,2021-09-07 18:44:58.900000+00:00,12_polluting our waterways_government co...
14,"heads to warming, warming by 2050, going off the, gt kuwait recorded, going off the charts",2,2021-09-07 18:44:58.900000+00:00,14_this year and_this year and temperatu...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",5,2021-09-07 18:44:58.900000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"el verano de, tórrido en europa, el verano de 2021, fue el más tórrido, el verano de 2021 fue",1,2021-09-07 18:44:58.900000+00:00,16_200 revistas científicas_un editorial...
17,"roll 15 bring, rt safestreetrebel slow, rt safestreetrebel slow ride to, windmill meet 30 roll, windmill meet 30",2,2021-09-07 18:44:58.900000+00:00,17_rt safestreetrebel slow ride to_windm...
18,"archbishop of canterbury, patriarch bartholomew release joint message, ctrlamb pope francis, release joint message on, bartholomew release joint message on",1,2021-09-07 18:44:58.900000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",1,2021-09-07 18:44:58.900000+00:00,19_aided by big_you global far right_the...
20,"yet sh https co xgd6pzwakp, invoking trillion reconciliation, reconciliation bill by contrast, powers yet sh https, not about giving government new",2,2021-09-07 18:44:58.900000+00:00,20_pass it aims_must pass it aims to_it ...
21,"restore degraded farmland, degraded farmland can grow rural, 700 billion in, 700 billion in agricultural, in agricultural subsidies to restore",1,2021-09-07 18:44:58.900000+00:00,21_we keep rebuilding it by_climate of t...
22,"it perfectly reasonable, people who can buy house, crippled by student debt, to ask young people who, crippled by student debt who",2,2021-09-07 18:44:58.900000+00:00,22_house who are crippled by_are cripple...
26,"staghorn coral have small fish, coral have small fish, swimming through them, coral have small fish swimming, such as tiny gobies",1,2021-09-07 18:44:58.900000+00:00,26_have small fish swimming through_fish...
27,"have 500 openings, openings that we are advertising, think that you want, that we are, posting soon if you",1,2021-09-07 18:44:58.900000+00:00,27_think that you_be posting soon if you...
-1,"this is really, climate change is, world that the democrats are, is really the world that, for they re fine with",50,2021-09-07 18:46:09.200000+00:00,-1_climate change is_of climate change_y...
0,"climate change and, for decades uh scientists, warned of extreme, joebiden for decades uh scientists, would be more",54,2021-09-07 18:46:09.200000+00:00,0_and climate change_joebiden for decade...
1,"don have any more, don have any, have any more, we don have, we don have any more",11,2021-09-07 18:46:09.200000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",14,2021-09-07 18:46:09.200000+00:00,2_of anti democratic sentiments_there is...
3,"the filibuster it, or the filibuster, or the filibuster it, the harper era, filibuster it racial",11,2021-09-07 18:46:09.200000+00:00,3_the filibuster it_or the filibuster it...
4,"now on the, climate pledge arena, oc and we, in oc and, and challenging actions",16,2021-09-07 18:46:09.200000+00:00,4_to keep up_up momentum of tackling cli...
5,"from hurricane ida, surveying damage from hurricane ida, with local residents this, hurricane ida with local, damage from hurricane ida with",12,2021-09-07 18:46:09.200000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, to dump raw, dump raw sewage into, dump raw sewage into rivers, to dump raw sewage",10,2021-09-07 18:46:09.200000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"an indian oakleaf butterfly, rt mikehudema wow how about, butterfly kallima inachus nature, oakleaf butterfly kallima inachus nature, butterfly kallima inachus",1,2021-09-07 18:46:09.200000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",6,2021-09-07 18:46:09.200000+00:00,8_about the indigenous_why isn everyone_...
9,"has pledged to, an effort to fight, billion trees in an effort, trees in an, trees in an effort",3,2021-09-07 18:46:09.200000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",3,2021-09-07 18:46:09.200000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",5,2021-09-07 18:46:09.200000+00:00,11_american friends they_trust the media...
12,"our oceans and present on, pollution are suffocating our oceans, dangers for marine, going dangers for marine life, present on going dangers",4,2021-09-07 18:46:09.200000+00:00,12_polluting our waterways_government co...
13,"destroying lives refusing, vaccinated is destroying, storms because of climate change, change are destroying, vaccinated is destroying lives refusing",3,2021-09-07 18:46:09.200000+00:00,13_all of you_who are refusing_refusing ...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",2,2021-09-07 18:46:09.200000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"zwaarder gaan wegen dan https, effecten veel zwaarder, de negatieve effecten veel, de negatieve effecten veel zwaarder, irrelevantes https co",2,2021-09-07 18:46:09.200000+00:00,16_200 revistas científicas_un editorial...
18,"archbishop of canterbury, the archbishop of canterbury, the archbishop of, appeal on climate, the patriarch and",2,2021-09-07 18:46:09.200000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",1,2021-09-07 18:46:09.200000+00:00,19_aided by big_you global far right_the...
21,"we keep rebuilding it by, for the climate of, is our infrastructure is built, of the past, of the past and",3,2021-09-07 18:46:09.200000+00:00,21_we keep rebuilding it by_climate of t...
22,"strict parents now am, my teenage years to, to strict parents now am, strict parents now am losing, rt faithmuhangi lost",1,2021-09-07 18:46:09.200000+00:00,22_house who are crippled by_are cripple...
23,"franklin graham is, shame or ethics it, same guy that cnn, same guy that, no shame or ethics",1,2021-09-07 18:46:09.200000+00:00,23_franklin graham is_that cnn takes adv...
25,"climate private jets and ferraris, marie antoinette does climate, exempt from eu, exempt from eu climate, does climate private jets and",3,2021-09-07 18:46:09.200000+00:00,25_does climate private_does climate pri...
26,"staghorn coral have small fish, coral have small fish, swimming through them, coral have small fish swimming, such as tiny gobies",1,2021-09-07 18:46:09.200000+00:00,26_have small fish swimming through_fish...
-1,"of climate change, the climate crisis, erin toole pro, works https co qajjnc6g6j rt, https co qajjnc6g6j rt",59,2021-09-07 18:47:19.500000+00:00,-1_climate change is_of climate change_y...
0,"extreme weather ah would be, have warned of extreme weather, weather ah would, ah would be, of extreme weather ah",60,2021-09-07 18:47:19.500000+00:00,0_and climate change_joebiden for decade...
1,"of climate change, climate change was here, climate change was, change was here, hurricane ida damage",16,2021-09-07 18:47:19.500000+00:00,1_have any more_we don have any more_don...
2,"brazil millions are, in brazil millions are peacefully, millions are peacefully demonstrating, demonstrating to support democracy, in brazil millions",9,2021-09-07 18:47:19.500000+00:00,2_of anti democratic sentiments_there is...
3,"or the filibuster, or the filibuster it, the filibuster it, city for best rt, queen city for best rt",19,2021-09-07 18:47:19.500000+00:00,3_the filibuster it_or the filibuster it...
4,"up momentum of tackling, this year to, of tackling climate change, cop26 must take place, cop26 must take",16,2021-09-07 18:47:19.500000+00:00,4_to keep up_up momentum of tackling cli...
5,"from hurricane ida with, with local residents, from hurricane ida with local, local residents this community, local residents this",10,2021-09-07 18:47:19.500000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, to dump raw, sewage into rivers, raw sewage into rivers, dump raw sewage into rivers",11,2021-09-07 18:47:19.500000+00:00,6_raw sewage into_to dump raw sewage_dum...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",15,2021-09-07 18:47:19.500000+00:00,8_about the indigenous_why isn everyone_...
9,"billion trees in an, billion trees in an effort, in an effort to, in an effort, pakistan has pledged to plant",8,2021-09-07 18:47:19.500000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",10,2021-09-07 18:47:19.500000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",7,2021-09-07 18:47:19.500000+00:00,11_american friends they_trust the media...
12,"to green environment polluting our, environment polluting our, our waterways permissio, absolutely shocking government, absolutely shocking government committed",10,2021-09-07 18:47:19.500000+00:00,12_polluting our waterways_government co...
13,"all of you, vaccinate human population has exploded, thank all of you, really want to thank, really want to",10,2021-09-07 18:47:19.500000+00:00,13_all of you_who are refusing_refusing ...
14,"smashed records by https, mediterranean smashed records by https, smashed records by https co, https co kpymsddy1b, records by https co kpymsddy1b",1,2021-09-07 18:47:19.500000+00:00,14_this year and_this year and temperatu...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",4,2021-09-07 18:47:19.500000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"beaucoup de formes mais pas, de contenu https, pas beaucoup de, el objetivo es empobrecernos, pas beaucoup de contenu https",2,2021-09-07 18:47:19.500000+00:00,16_200 revistas científicas_un editorial...
17,"roll 15 bring, protest muni service cuts thursday, cuts thursday murphy, safestreetrebel slow ride to protest, service cuts thursday",1,2021-09-07 18:47:19.500000+00:00,17_rt safestreetrebel slow ride to_windm...
18,"archbishop of canterbury, the archbishop of canterbury, the archbishop of, orthodox church have joined, the pope and the head",1,2021-09-07 18:47:19.500000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",1,2021-09-07 18:47:19.500000+00:00,19_aided by big_you global far right_the...
20,"reconciliation bill must pass, must pass it, poverty in half set up, reconciliation bill must pass it, safety nets for",2,2021-09-07 18:47:19.500000+00:00,20_pass it aims_must pass it aims to_it ...
21,"we keep rebuilding it by, rt grist the reality is, it by incremental, rt grist the reality, the past and we",2,2021-09-07 18:47:19.500000+00:00,21_we keep rebuilding it by_climate of t...
22,"90 of the, is useless for 90 of, rt apex_simmaps elite overproduction can, rt apex_simmaps elite overproduction, overproduction can be",2,2021-09-07 18:47:19.500000+00:00,22_house who are crippled by_are cripple...
23,"franklin graham is, no shame or ethics it, have no shame or, is the same guy that, and franklin graham is the",3,2021-09-07 18:47:19.500000+00:00,23_franklin graham is_that cnn takes adv...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",1,2021-09-07 18:47:19.500000+00:00,24_is no danger of_is in doing_of doing ...
27,"snow cover feedbacks over alpine, position in modeling atmosphere, atmosphere snow cover feedbacks over, snow cover feedbacks over, to work with us",1,2021-09-07 18:47:19.500000+00:00,27_think that you_be posting soon if you...
-1,"action on climate, the climate crisis, on climate change, vax soundersfc vax negative test, vax soundersfc vax",33,2021-09-07 18:48:29.800000+00:00,-1_climate change is_of climate change_y...
0,"extreme and climate, of extreme weather ah, decades uh scientists have warned, scientists have warned, scientists have warned of extreme",57,2021-09-07 18:48:29.800000+00:00,0_and climate change_joebiden for decade...
1,"we don have any, don have any, we don have any more, don have any more, we don have",20,2021-09-07 18:48:29.800000+00:00,1_have any more_we don have any more_don...
2,"demonstrating to support democracy ru, democratic sentiments in brazil, of anti democratic sentiments, millions are peacefully, no climate of anti",11,2021-09-07 18:48:29.800000+00:00,2_of anti democratic sentiments_there is...
3,"or the filibuster it, the filibuster it, or the filibuster, rights or the, rights or the filibuster it",12,2021-09-07 18:48:29.800000+00:00,3_the filibuster it_or the filibuster it...
4,"oc and we need, challenging actions are happening in, oc and we need you, you to help us, actions are happening",16,2021-09-07 18:48:29.800000+00:00,4_to keep up_up momentum of tackling cli...
5,"ida with local residents this, local residents this, hurricane ida with local residents, with local residents this community, hurricane ida with local",9,2021-09-07 18:48:29.800000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, sewage into rivers, to dump raw sewage into, to dump raw sewage, to dump raw",7,2021-09-07 18:48:29.800000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"in response to climate, in response to, response to climate, in response to climate crisis, shapeshifting in response to",5,2021-09-07 18:48:29.800000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",9,2021-09-07 18:48:29.800000+00:00,8_about the indigenous_why isn everyone_...
9,"billion trees in, an effort to fight, has pledged to plant, billion trees in an effort, billion trees in an",6,2021-09-07 18:48:29.800000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",4,2021-09-07 18:48:29.800000+00:00,10_an event presented_it hard to picture...
